Age,Workclass,Fnlwgt,Education,Marital_Status,Occupation,Relationship,Race,Sex,Native_Country,Income,Predicted_Income
52,4,209642,11,2,3,0,4,1,38,1, >50K
59,2,109015,11,0,12,4,4,0,38,0, <=50K
56,1,216851,9,2,12,0,4,1,38,1, >50K
23,1,190709,7,4,10,1,4,1,38,0, <=50K
31,2,507875,6,2,6,0,4,1,38,0, <=50K
49,2,94638,11,5,0,4,4,0,38,0, <=50K
42,2,116632,10,2,9,0,4,1,38,1, >50K
36,2,155537,11,2,2,0,4,1,38,0, >50K
29,4,162298,9,2,11,0,4,1,38,1, >50K
59,2,159937,11,2,11,0,4,1,38,0, >50K
53,2,346253,11,0,11,3,4,0,38,0, <=50K
43,0,410867,10,4,9,1,4,0,38,1, <=50K
34,1,226296,9,2,10,0,4,1,38,1, >50K
48,4,191277,10,2,9,0,4,1,38,1, >50K
20,2,188300,15,4,12,3,4,0,38,0, <=50K
29,2,103432,11,4,2,1,4,1,38,0, <=50K
30,2,194901,1,4,5,3,4,1,38,0, <=50K
31,1,189265,11,4,0,1,4,0,38,0, <=50K
38,2,65324,14,2,9,0,4,1,38,1, >50K
39,2,365739,15,0,2,1,4,1,38,0, <=50K
45,2,196584,8,4,9,1,4,0,38,1, <=50K
39,0,235485,7,4,3,1,4,1,38,0, <=50K
27,2,253814,11,3,11,4,4,0,38,0, <=50K
31,2,99928,12,2,9,5,4,0,38,0, >50K
58,5,109567,10,2,9,0,4,1,38,1, >50K
51,2,259323,9,2,3,0,4,1,38,1, >50K
36,2,128757,9,2,7,0,2,1,38,1, <=50K
36,2,150042,9,0,9,3,4,0,38,0, <=50K
26,2,378322,1,2,2,0,4,1,38,0, <=50K
33,2,185480,9,4,9,1,4,0,38,0, <=50K
31,2,127595,11,0,9,1,4,0,38,0, <=50K
29,1,220419,9,4,10,1,4,1,38,0, <=50K
29,2,423158,15,4,12,1,4,0,38,0, <=50K
43,2,50356,15,2,2,0,4,1,38,0, >50K
41,2,206565,15,4,2,1,2,1,38,0, <=50K
31,2,156464,9,4,9,3,4,1,38,0, <=50K
17,2,89821,1,4,7,3,4,1,38,0, <=50K
38,2,172927,11,2,11,0,4,1,38,0, >50K
46,2,108699,15,0,11,1,4,0,38,0, <=50K
46,2,188386,10,2,3,0,4,1,38,1, >50K
34,5,240283,11,0,13,4,4,0,38,0, <=50K
42,1,340148,15,2,0,5,4,0,38,0, <=50K
59,1,286967,11,2,13,0,4,1,38,0, >50K
26,2,64293,15,4,9,1,4,0,38,0, <=50K
28,2,85812,15,2,11,5,4,0,38,0, <=50K
42,2,221172,9,2,3,0,4,1,38,1, >50K
38,4,190387,11,2,2,0,4,1,38,0, >50K
29,2,133937,10,4,9,3,4,1,38,0, <=50K
30,2,237903,15,4,5,4,4,0,38,0, <=50K
27,2,163862,11,4,13,1,4,1,38,0, <=50K
59,2,199713,11,2,2,0,4,1,38,0, <=50K
60,2,39352,5,4,13,1,4,1,38,1, <=50K
27,2,267147,11,4,11,3,4,1,38,0, <=50K
25,2,200408,15,4,12,1,4,1,38,0, <=50K
47,3,248145,4,2,13,0,4,1,4,0, >50K
29,5,71592,15,4,0,4,1,0,29,0, <=50K
44,4,335183,2,2,5,0,2,1,38,1, <=50K
50,3,219420,11,2,11,0,4,1,38,1, >50K
58,4,204021,11,6,3,1,4,1,38,0, <=50K
37,2,161141,8,2,2,0,4,1,31,1, <=50K
18,5,59342,1,4,0,3,4,0,38,0, <=50K
42,2,262425,15,2,9,0,4,1,38,0, >50K
35,2,203628,12,4,9,1,4,1,38,1, <=50K
40,2,229148,2,2,7,0,2,1,22,0, <=50K
45,2,242552,15,4,11,1,2,1,38,0, <=50K
41,2,125831,11,2,2,0,4,1,38,0, >50K
43,5,260960,9,2,9,0,4,1,38,0, >50K
17,2,316929,2,4,5,3,4,1,38,0, <=50K
32,2,267736,15,4,0,3,2,0,38,0, <=50K
23,2,145111,11,4,13,4,4,1,38,0, <=50K
39,2,48093,11,4,5,1,4,1,38,0, <=50K
54,2,285854,11,2,13,0,4,1,38,1, >50K
59,1,420537,11,2,0,5,4,0,38,1, <=50K
43,2,226902,9,2,11,0,4,1,38,1, >50K
24,2,106085,11,4,7,3,2,1,38,0, <=50K
39,2,138192,9,2,2,0,4,1,38,0, >50K
48,5,327886,10,0,9,3,4,1,38,1, <=50K
49,2,38563,9,4,3,1,4,0,38,1, <=50K
28,3,142712,15,2,3,0,4,1,38,0, >50K
41,2,194636,9,2,3,0,4,1,38,1, >50K
49,2,72393,6,0,6,1,4,0,38,0, <=50K
28,2,109165,11,2,12,0,4,1,38,0, <=50K
53,4,311020,0,2,4,0,4,1,38,0, <=50K
23,2,543028,11,4,11,3,2,1,38,0, <=50K
43,2,250802,15,0,2,4,4,1,38,0, <=50K
44,4,325159,15,0,4,4,4,1,38,0, <=50K
51,2,269080,5,6,7,4,2,0,38,0, <=50K
35,3,368825,15,2,11,0,4,1,38,1, >50K
37,2,200153,11,2,2,0,4,1,38,0, <=50K
49,2,123207,11,4,0,1,4,0,38,0, <=50K
45,1,318280,11,6,10,1,4,1,38,1, <=50K
51,2,220537,11,0,6,1,4,0,38,0, <=50K
34,2,124827,8,4,13,3,4,1,38,0, <=50K
22,2,122346,11,0,2,1,4,1,38,0, <=50K
56,2,169133,11,2,7,0,4,1,40,0, <=50K
48,2,207848,0,2,0,5,4,0,38,0, <=50K
28,2,187160,14,0,9,4,4,1,38,0, <=50K
22,1,34029,9,4,9,3,4,0,38,0, <=50K
31,2,232475,15,2,0,0,4,1,38,0, <=50K
41,0,133060,7,2,9,0,4,1,38,1, >50K
29,3,260729,11,2,11,5,4,0,38,1, >50K
69,2,168139,11,2,11,5,4,0,38,0, <=50K
37,2,189382,8,4,0,3,4,0,38,0, <=50K
46,4,246212,12,2,3,0,4,1,38,1, >50K
35,0,250504,11,2,0,0,2,1,38,1, <=50K
20,2,230891,15,4,11,1,4,1,38,0, <=50K
40,2,520586,15,0,0,4,4,0,38,0, <=50K
43,5,165309,11,2,10,0,4,1,38,0, >50K
20,2,275691,11,4,5,3,4,1,38,0, <=50K
65,2,350498,9,2,0,0,4,1,38,1, <=50K
50,2,157043,1,0,7,1,2,0,38,0, <=50K
36,2,416745,9,2,9,0,4,1,38,0, >50K
48,2,349151,11,2,2,0,4,1,38,0, >50K
36,2,354078,9,2,9,0,4,1,38,1, >50K
43,2,413297,11,2,2,0,4,1,38,0, >50K
42,2,65372,15,4,0,3,4,0,38,0, <=50K
38,2,189623,9,2,9,0,4,1,38,1, >50K
44,1,409505,9,0,10,1,4,1,38,0, <=50K
52,2,186785,11,4,11,1,4,1,38,0, <=50K
42,0,158926,7,0,9,4,1,0,29,1, <=50K
47,4,370119,9,2,11,0,4,1,38,1, >50K
21,2,236696,15,4,7,1,4,1,38,0, <=50K
45,0,283037,9,2,3,0,4,1,38,0, >50K
48,2,55237,9,2,2,0,4,1,38,1, >50K
23,2,275244,11,4,6,1,2,1,38,0, <=50K
33,2,40681,15,4,9,1,4,0,38,0, <=50K
40,2,240124,11,2,3,0,4,1,38,1, >50K
47,2,46857,15,0,0,1,4,1,38,0, <=50K
39,2,191161,15,2,2,0,4,1,38,0, >50K
20,2,444554,0,4,5,3,4,1,38,0, <=50K
32,2,97429,9,0,3,4,4,0,1,0, <=50K
17,2,46496,1,4,7,3,4,1,38,0, <=50K
19,0,234151,11,4,0,4,2,0,38,0, <=50K
30,2,30226,1,0,11,3,4,1,38,0, <=50K
43,3,196945,11,2,7,0,1,1,36,0, >50K
28,5,73211,15,2,0,0,1,1,38,0, <=50K
31,2,127610,9,2,9,5,4,0,38,1, >50K
46,2,563883,11,2,2,0,2,1,38,1, >50K
61,2,120939,14,2,13,0,4,1,38,1, >50K
53,3,263925,11,2,11,0,4,1,38,1, >50K
36,4,105021,15,2,3,0,4,1,38,1, >50K
58,5,48433,11,2,3,0,4,1,38,0, >50K
25,2,212495,9,4,3,3,4,1,38,0, <=50K
47,1,246891,9,2,10,0,4,1,38,0, >50K
47,5,141483,6,0,7,1,4,0,38,0, <=50K
37,2,26898,11,0,3,4,4,0,38,0, <=50K
48,2,125421,12,0,3,4,4,0,38,1, <=50K
39,1,203070,11,5,10,1,4,1,38,0, <=50K
27,2,168107,9,2,2,0,4,1,38,0, >50K
44,2,139338,2,0,13,4,2,1,38,0, <=50K
42,0,141459,11,5,7,2,2,0,38,0, <=50K
26,2,266912,11,2,11,0,4,1,38,1, <=50K
39,2,128715,11,0,0,1,4,1,38,1, <=50K
28,4,125442,11,0,2,3,4,1,38,0, <=50K
37,2,910398,9,4,11,1,2,0,38,0, <=50K
46,2,370119,14,2,9,0,4,1,38,1, >50K
39,2,328466,1,2,7,0,4,1,25,0, <=50K
37,2,405723,3,2,6,0,4,1,25,0, <=50K
28,2,89718,11,4,11,1,4,0,38,0, <=50K
71,3,133821,11,2,0,5,4,0,38,1, <=50K
44,2,443040,11,2,5,0,2,1,38,0, <=50K
53,2,117496,6,0,7,1,4,0,1,0, <=50K
25,2,28520,11,4,7,1,4,0,38,0, <=50K
29,2,112031,11,0,2,1,4,0,38,0, <=50K
31,2,148600,11,2,6,0,2,1,38,0, <=50K
27,2,377680,8,4,11,1,4,1,38,0, <=50K
45,2,99179,1,6,0,4,4,0,38,0, <=50K
37,2,349689,11,0,0,4,4,0,38,0, <=50K
42,2,251795,15,2,9,5,4,0,38,1, >50K
49,2,169818,11,2,7,5,2,0,38,1, <=50K
31,2,288419,0,2,6,0,4,1,38,0, <=50K
39,2,79331,12,2,3,0,1,1,38,1, >50K
33,2,155343,11,2,11,0,4,1,38,1, <=50K
38,2,204640,15,6,0,4,2,0,38,0, <=50K
56,2,261232,11,4,2,1,4,1,38,0, <=50K
23,2,156807,6,4,5,3,2,1,38,0, <=50K
46,2,187226,6,0,7,1,4,1,38,0, <=50K
40,2,173607,0,2,13,0,4,1,38,0, <=50K
31,2,157887,15,2,3,0,4,1,38,1, >50K
25,2,109872,11,2,6,0,4,1,38,0, <=50K
23,2,119838,9,4,9,3,4,1,38,0, <=50K
65,6,27012,5,6,4,4,4,0,38,0, <=50K
25,1,125863,9,4,9,3,4,1,38,0, <=50K
25,2,169990,11,2,11,0,4,1,38,0, <=50K
24,1,249101,11,0,10,4,2,0,38,0, <=50K
43,5,218542,11,4,0,4,2,0,38,0, <=50K
30,2,226013,9,4,9,1,2,1,38,0, <=50K
66,2,263637,0,2,10,0,4,1,38,0, >50K
29,2,452205,11,0,7,4,4,0,38,0, <=50K
26,2,122999,12,4,9,1,4,1,38,1, <=50K
53,1,260106,14,0,9,1,4,0,38,0, <=50K
36,2,24106,11,2,2,0,4,1,38,1, >50K
26,2,236564,11,4,5,1,4,1,38,0, <=50K
44,2,54611,15,0,6,1,4,1,38,0, <=50K
75,4,30599,12,3,9,1,4,0,38,0, <=50K
23,2,193089,1,4,2,3,4,1,38,0, <=50K
36,2,103110,10,4,9,1,4,1,8,0, >50K
35,2,154410,11,4,5,1,4,1,38,0, <=50K
61,2,238611,5,6,7,4,2,0,38,0, <=50K
41,2,113597,15,2,4,0,4,1,38,0, >50K
53,2,166368,15,4,2,1,4,1,38,0, <=50K
28,2,303954,11,2,2,0,4,1,38,1, <=50K
34,2,126838,11,2,13,0,4,1,38,0, <=50K
20,2,176321,2,4,0,3,4,0,25,0, <=50K
66,2,146454,15,2,11,0,4,1,38,1, >50K
25,2,90291,9,4,3,3,4,1,38,0, <=50K
37,2,35330,11,0,2,1,4,1,38,0, <=50K
35,2,23621,11,4,2,1,4,1,38,0, <=50K
